ENT,MUN,LOC,TIPOLOC,OTROTIPO_C,DIS_TRANS,AUTO,MICRO,CAMION,TAXI,BICI,BARCO,AUTOCAB,MICROCAB,CAMIONCAB,TAXICAB,BICICAB,BARCOCAB,TRANSPRIN,FRECUENCIA,TIEMPO,ABASTECIM,AGUACOB,AGUAFUEN,AGUAOFUEN_C,DRENAJE,DRENAJECOB,DDRENAJE,ODDRENAJE_C,LIMCALLE,RECBASURA,DESBASURA,ODESBASURA_C,ALUMBRADO,ENFUENTE,ENOFUENTE_C,ALUMBCOB,MANZANA,RECUBCOB,BANQUETAS,PLAZA,CANCHA,PARQUE,BIBLIOTECA,CULTURA,SALON,FRIJOL,MAIZ,TORTILLA,PAN,ARROZ,LECHE,HUEVO,CARNE,POLLO,PESCADO,FRUTA,TIANGUIS,ABARROTE,DICONSA,LICONSA,FARMACIA,PAPELERIA,FERRETERIA,ROPA,LOZA,MUEBLE,MATERIAL,GAS,GOB_EDO,GOB_MUN,ORG_NG,OTRO_CC,OTRO_CD_C,CLINICA,MEDICO,PARTERA,BRIGADA,PROMOTOR,CURANDERO,TELEFONO,INTERNET,SENALCEL,TELEVISIONA,TELEVISIONP,DINERO,LTRABAJO,ACTAGR_V,ACTAGR_CF,ACTAGR_NO,ACTPEC_V,ACTPEC_CF,ACTPEC_NO,ACTMIN_V,ACTMIN_CF,ACTMIN_NO,ACTFOR_V,ACTFOR_CF,ACTFOR_NO,ACTREC_V,ACTREC_CF,ACTREC_NO,ACTPES_V,ACTPES_CF,ACTPES_NO,ACTART_V,ACTART_CF,ACTART_NO,OTRAACT_V,OTRAACT_CF,OTRAACT_NO,OTRAACT_C,ACT_PRIN,OACT_PRIN_C,PRODUCTO_C1,PRODUCTO_C2,PRODUCTO_C3,AUTMUN,OTRAMUN_C,CEJIDAL,INDIGENA,TRADICIONAL,POLICIA,CONFLICTO1,CONFLICTO2,CONFLICTO3,CONFLICTO4,CONFLICTO5,OCONF,OCONF_D_C,SEQUIA,HELADA,INUNDACION,INCENDIO,TEMBLOR,CICLON,OTRO_DANO,OTRO_DANO_DES_C,AIRE,MOTOR,BASURERO,RUIDO,AGUA,A_NEGRA,RIOS,PESTICIDAS,TERRENOS,PLAGAS,OCONT,OCONT_D_C,HABLALI,USOESC,USOIGL,USOFEST,USOCOMP,USOFAM,USOHOG,PROBLEMA,PROBLEMA_O_C,POBTOT,TAMLOC,LOC_LENGUA40PC
20,002,0031,03,,3,,,,,,,,,,,,,,,,1,1,1,,3,,,,2,4,,,1,1,,2,1,5,5,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,8,1,4,1,01,,,,05,,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,3,,2,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,02,,183,2,3
20,002,0032,03,,1,1,4,5,8,2,4,1,,3,,,,1,2,80,1,1,5,,3,,,,2,4,,,1,1,,2,1,4,5,2,3,6,8,2,3,1,3,5,8,1,3,5,8,1,4,6,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,5,8,2,4,2,3,6,7,1,4,1,01,,,,05,,,,09,,02,,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,3,5,7,2,4,6,8,1,4,,1,4,6,8,2,4,6,,1,4,6,8,2,3,5,7,2,3,6,,1,1,3,5,7,1,3,05,,1283,5,1
20,002,0033,03,,1,1,4,6,7,2,4,1,,,3,,,1,4,60,1,1,1,,1,1,5,,2,4,,,1,1,,1,1,4,4,1,3,6,8,2,3,1,3,5,7,1,3,5,8,1,3,6,2,3,6,8,2,3,2,3,6,8,2,3,2,4,6,8,,2,4,6,8,1,4,2,3,6,7,1,4,1,01,02,,,,06,,,09,,,03,,05,,,08,,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,1,4,6,,1,2,3,5,8,1,3,08,,858,4,3
20,002,0036,03,,1,1,3,6,8,2,4,1,3,,,,,1,2,25,1,1,1,,1,4,3,,1,4,7,,1,2,,4,1,5,5,2,3,5,8,2,3,1,3,5,7,1,3,5,8,2,4,6,2,3,5,8,2,4,2,4,6,8,2,3,2,4,6,8,,1,4,5,8,1,4,2,4,6,7,1,4,1,,02,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,4,5,7,2,4,5,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,09,,338,3,3
20,002,0038,03,,1,2,4,6,7,2,4,,,,3,,,4,,120,1,1,1,,3,,,,2,3,4,,1,1,,1,1,5,5,2,3,6,7,2,3,1,3,5,7,1,3,5,7,1,4,5,2,3,6,8,2,3,2,4,6,8,2,3,2,4,6,8,,1,4,6,8,1,4,2,3,5,8,1,4,1,01,,,04,,,,,09,,,03,,05,,,,09,01,,,,,06,,1,,111027,,,3,,1,4,6,8,2,4,6,8,1,4,,1,4,6,8,2,4,6,,2,4,6,7,1,4,6,8,2,3,6,,1,2,4,6,8,1,3,06,,477,3,3
20,002,0040,03,,3,,,,,,,,,,,,,,,,1,1,1,,1,1,5,,2,4,,,1,1,,1,3,,,1,4,6,8,2,4,1,3,5,7,1,3,5,7,1,4,5,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,2,4,1,01,,,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,6,,2,4,6,8,2,4,6,8,2,4,,1,3,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,3,6,,3,,,,,,,12,,7,1,3
20,002,0041,02,,1,1,4,5,7,2,4,1,,1,1,,,1,5,40,4,,,,3,,,,2,4,,,3,,,,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,1,4,1,,,03,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,,,,,,6,,2,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,1,4,6,8,2,4,6,8,2,4,6,,3,,,,,,,01,,26,1,3
20,002,0042,02,,3,,,,,,,,,,,,,,,,2,4,1,,3,,,,2,4,,,1,1,,4,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,8,1,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,8,1,4,1,01,,,,05,,,,09,,02,,,05,,,,09,,,03,,,06,,1,,111027,,,6,,2,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,1,4,6,8,2,4,6,7,2,3,6,,3,,,,,,,02,,6,1,3
20,002,0045,03,,1,1,4,6,8,2,4,3,,,,,,1,2,60,3,,3,,3,,,,2,4,,,1,1,,2,1,5,5,2,4,6,8,2,3,1,3,6,8,1,3,5,8,1,4,6,2,4,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,2,4,6,8,2,4,2,4,6,8,1,4,1,01,02,,,05,,,,09,,,03,04,05,,,08,,,,03,,,06,,5,,111999,,,3,,2,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,2,4,6,8,1,4,02,,419,3,3
20,002,0046,01,,3,,,,,,,,,,,,,,,,4,,,,3,,,,2,4,,,3,,,,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,8,2,4,1,,02,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111096,111066,,6,,2,4,6,8,2,4,6,7,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,3,6,,3,,,,,,,05,,8,1,3
